Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,25.58,25.85,24.98,25.40,1564100,25.40
2012-06-26,25.72,25.97,24.63,25.58,1804500,25.58
2012-06-25,26.55,26.72,24.78,25.39,1818800,25.39
2012-06-22,26.51,27.59,26.12,27.02,4052500,27.02
2012-06-21,28.34,28.77,26.16,26.45,3505800,26.45
2012-06-20,27.89,28.93,27.26,28.38,4149100,28.38
2012-06-19,28.86,29.69,28.73,29.38,2869800,29.38
2012-06-18,29.54,29.55,27.97,28.60,2789900,28.60
2012-06-15,28.35,31.07,28.35,29.95,8455300,29.95
2012-06-14,25.98,28.48,25.08,27.83,7015900,27.83
2012-06-13,27.15,28.15,25.53,25.93,6376600,25.93
2012-06-12,28.99,29.33,25.19,27.15,12142900,27.15
2012-06-11,29.97,30.90,28.10,28.74,6489000,28.74
2012-06-08,23.92,28.86,23.66,28.36,12359600,28.36
2012-06-07,22.33,25.94,20.21,24.11,23301400,24.11
2012-06-06,27.75,29.02,27.75,28.15,2496600,28.15
2012-06-05,25.50,27.60,25.50,27.52,2382400,27.52
2012-06-04,27.11,27.26,26.01,26.61,1989100,26.61
2012-06-01,27.12,27.12,26.50,27.01,2506100,27.01
2012-05-31,28.10,28.10,27.51,27.94,1917500,27.94
2012-05-30,28.55,28.60,27.72,28.26,1557900,28.26
2012-05-29,28.45,29.51,28.45,29.23,1389200,29.23
2012-05-25,28.03,28.32,27.82,28.11,882300,28.11
2012-05-24,27.71,28.04,27.25,28.04,1124900,28.04
2012-05-23,27.66,27.78,26.83,27.71,1578700,27.71
2012-05-22,27.45,28.28,26.98,28.08,1880200,28.08
2012-05-21,26.35,27.50,26.20,27.39,969900,27.39
2012-05-18,27.06,27.39,26.14,26.31,1597200,26.31
2012-05-17,28.31,28.44,26.65,26.91,3136400,26.91
2012-05-16,30.03,30.25,28.29,28.41,1709400,28.41
2012-05-15,31.02,31.09,29.68,29.80,1219700,29.80
2012-05-14,29.67,31.68,29.54,31.08,1805000,31.08
2012-05-11,30.59,31.01,29.93,30.01,1177500,30.01
2012-05-10,31.94,32.36,30.65,30.81,1352500,30.81
2012-05-09,31.20,31.90,30.85,31.52,1050700,31.52
2012-05-08,31.83,31.91,31.10,31.82,2053100,31.82
2012-05-07,32.41,32.71,32.00,32.06,1701900,32.06
2012-05-04,32.99,32.99,31.92,32.52,1021100,32.52
2012-05-03,34.35,34.35,32.99,33.19,1242000,33.19
2012-05-02,34.66,34.66,33.70,34.47,1160500,34.47
2012-05-01,33.95,35.25,33.95,35.04,1604600,35.04
2012-04-30,34.26,34.26,33.69,33.95,1243500,33.95
2012-04-27,34.02,34.54,33.80,34.36,1430100,34.36
2012-04-26,33.48,34.00,33.17,34.00,1451800,34.00
2012-04-25,34.05,34.36,32.97,33.61,1337500,33.61
2012-04-24,33.63,34.22,33.45,33.76,1143600,33.76
2012-04-23,33.89,34.07,32.68,33.68,2352100,33.68
2012-04-20,35.92,36.26,34.39,34.61,2330500,34.61
2012-04-19,35.89,36.37,35.43,35.86,2025700,35.86
2012-04-18,37.13,37.21,36.70,36.93,1047200,36.93
2012-04-17,36.86,38.03,36.86,37.56,991400,37.56
2012-04-16,36.92,36.95,36.33,36.58,1524700,36.58
2012-04-13,37.43,37.45,36.61,36.77,1624600,36.77
2012-04-12,36.89,38.17,36.65,37.51,1446900,37.51
2012-04-11,37.77,37.84,36.17,36.77,2536400,36.77
2012-04-10,37.88,38.10,37.07,37.23,1532600,37.23
2012-04-09,38.11,38.14,37.50,37.91,1224900,37.91
2012-04-05,38.51,39.51,38.46,38.90,1170900,38.90
2012-04-04,38.94,38.97,38.47,38.73,1733600,38.73
2012-04-03,40.57,40.67,39.27,39.55,1680900,39.55
2012-04-02,40.28,40.75,39.70,40.63,1047900,40.63
2012-03-30,41.10,41.17,40.35,40.45,812400,40.45
2012-03-29,40.17,40.76,39.81,40.69,770700,40.69
2012-03-28,41.13,41.32,39.94,40.60,1299400,40.60
2012-03-27,41.52,41.65,41.06,41.16,1334100,41.16
2012-03-26,41.41,41.66,41.12,41.51,950100,41.51
2012-03-23,41.27,41.27,40.46,40.89,1207300,40.89
2012-03-22,41.25,41.34,40.88,41.15,1276700,41.15
2012-03-21,41.65,42.11,41.38,41.50,1190000,41.50
2012-03-20,41.87,41.96,41.24,41.65,1421100,41.65
2012-03-19,41.62,43.06,41.56,42.31,1250700,42.31
2012-03-16,42.19,42.63,41.53,41.73,992300,41.73
2012-03-15,41.13,42.26,40.92,42.20,1074300,42.20
2012-03-14,41.00,41.32,40.53,41.06,1347700,41.06
2012-03-13,39.06,41.07,39.05,40.93,1753800,40.93
2012-03-12,39.48,39.48,38.95,39.00,1516400,39.00
2012-03-09,39.39,40.00,38.84,39.38,1548400,39.38
2012-03-08,38.19,39.60,37.31,39.27,5988300,39.27
2012-03-07,38.68,40.73,38.66,40.03,2530100,40.03
2012-03-06,39.30,39.34,38.25,38.40,1243100,38.40
2012-03-05,40.25,40.55,39.77,40.08,1112900,40.08
2012-03-02,41.81,41.81,40.27,40.40,1332600,40.40
2012-03-01,41.98,42.41,41.50,41.76,1618400,41.76
2012-02-29,43.70,44.00,41.66,41.78,2043000,41.78
2012-02-28,43.65,43.87,43.09,43.72,1051500,43.72
2012-02-27,42.99,43.92,42.43,43.59,936600,43.59
2012-02-24,44.04,44.32,43.24,43.31,1442300,43.31
2012-02-23,43.96,44.09,43.07,43.59,1069100,43.59
2012-02-22,44.22,44.63,43.83,43.90,945300,43.90
2012-02-21,44.62,45.04,44.13,44.19,1029800,44.19
2012-02-17,44.07,44.87,43.97,44.53,984500,44.53
2012-02-16,43.21,43.95,42.50,43.86,2471500,43.86
2012-02-15,44.90,44.90,42.50,42.85,2756100,42.85
2012-02-14,45.59,45.66,44.11,44.43,1892500,44.43
2012-02-13,46.48,46.70,45.36,45.69,923800,45.69
2012-02-10,45.82,46.16,45.18,45.79,833700,45.79
2012-02-09,46.77,46.85,45.36,46.54,1360300,46.54
2012-02-08,46.50,47.22,46.12,46.66,1348200,46.66
2012-02-07,47.14,47.24,46.12,46.26,1006000,46.26
2012-02-06,46.76,47.65,46.65,47.42,991000,47.42
2012-02-03,46.40,48.18,46.40,47.20,1994400,47.20
2012-02-02,45.71,46.06,44.97,45.91,2101800,45.91
2012-02-01,43.97,46.56,43.33,45.32,5266800,45.32
2012-01-31,44.11,44.42,42.55,43.29,1649900,43.29
2012-01-30,44.38,44.45,42.88,43.50,1459700,43.50
2012-01-27,43.03,45.00,43.00,44.84,1678800,44.84
2012-01-26,44.62,45.44,43.29,43.46,2819800,43.46
2012-01-25,43.01,44.41,42.91,44.12,1940500,44.12
2012-01-24,41.41,43.07,40.78,42.98,1678100,42.98
2012-01-23,40.57,41.77,40.18,41.63,1717900,41.63
2012-01-20,38.50,39.93,38.17,39.65,2412000,39.65
2012-01-19,42.00,42.05,38.66,38.82,3952100,38.82
2012-01-18,40.47,41.92,40.39,41.69,1154200,41.69
2012-01-17,40.77,41.13,40.38,40.55,844700,40.55
2012-01-13,39.85,40.31,39.38,40.29,1338400,40.29
2012-01-12,39.97,40.30,39.05,40.08,1687500,40.08
2012-01-11,40.03,40.29,39.41,39.98,1050600,39.98
2012-01-10,40.36,40.97,39.79,40.21,2123400,40.21
2012-01-09,39.18,39.18,38.07,38.83,1176800,38.83
2012-01-06,39.94,40.00,39.01,39.13,1340600,39.13
2012-01-05,38.97,39.99,38.50,39.81,2349900,39.81
2012-01-04,38.00,39.02,37.78,38.77,1203100,38.77
2012-01-03,38.91,39.02,38.07,38.08,866900,38.08
